team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Raiders,1,1,8,5,11,3,1,9,17,3,9,2
Cowboys,6,5,3,14,19,13,18,24,21,15,11,1
49ers,5,6,7,12,9,12,25,4,13,20,18,19
Vikings,14,10,28,30,23,32,21,22,31,26,25,9
Browns,29,21,5,11,10,8,27,13,14,4,8,7
Chargers,24,25,13,20,14,9,16,15,12,22,19,3
Cardinals,7,12,17,18,27,29,19,14,22,5,1,4
Bills,27,28,11,8,2,1,10,23,6,9,6,6
Texans,23,20,9,7,25,16,32,3,20,13,29,5
Titans,4,14,10,16,16,31,13,31,32,25,17,18
Chiefs,19,9,26,15,28,20,15,6,1,18,4,8
Bears,17,13,16,26,13,26,11,8,25,21,15,12
Buccaneers,12,4,18,3,7,2,14,18,5,1,20,22
Panthers,8,7,23,27,29,23,26,32,30,31,13,11
Jets,9,15,29,10,17,27,28,5,11,10,7,17
Jaguars,25,30,19,19,32,18,2,11,3,2,3,16
Patriots,26,27,24,31,6,28,29,26,29,27,32,24
Ravens,21,24,2,6,15,7,5,30,7,16,5,20
Eagles,3,11,22,21,12,21,8,7,24,23,2,10
Steelers,13,17,27,28,20,30,9,21,16,12,28,13
Dolphins,31,29,30,29,30,4,4,2,18,29,30,14
Lions,2,3,14,9,8,22,23,19,27,11,12,15
Saints,22,19,12,22,31,5,17,17,28,6,10,21
Seahawks,11,2,6,1,1,10,7,1,15,17,22,23
Falcons,32,23,32,23,24,25,20,20,23,7,24,25
Football Team,20,26,4,17,5,17,12,28,8,19,16,28
Broncos,15,16,20,4,4,11,6,10,2,14,26,27
Colts,28,31,25,32,18,15,22,27,4,32,14,29
Packers,30,32,15,25,26,19,24,25,19,24,21,32
Giants,16,22,31,24,22,24,31,29,10,30,27,26
Rams,10,8,1,2,3,6,3,16,26,8,31,30
Bengals,18,18,21,13,21,14,30,12,9,28,23,31
