year,Raiders,Cowboys,49ers,Vikings,Browns,Chargers,Cardinals,Bills,Texans,Titans,Chiefs,Bears,Buccaneers,Panthers,Jets,Jaguars,Patriots,Ravens,Eagles,Steelers,Dolphins,Lions,Saints,Seahawks,Falcons,Football Team,Broncos,Colts,Packers,Giants,Rams,Bengals
2010,1,14,7,18,25,24,13,29,23,3,17,19,15,8,6,26,20,27,2,9,32,4,11,10,31,28,5,22,30,16,12,21
2011,1,21,4,10,19,27,7,28,16,8,9,23,6,5,18,30,22,29,15,14,25,2,17,3,26,12,20,32,31,24,11,13
2012,8,17,5,21,2,27,16,14,13,18,28,24,22,20,30,6,19,1,23,9,29,7,11,12,32,3,25,26,10,31,4,15
2013,11,13,15,27,10,24,25,7,2,12,23,26,3,29,16,20,30,8,14,28,31,9,17,1,21,18,6,32,19,22,4,5
2014,13,21,14,22,15,10,28,5,24,11,29,7,12,27,16,32,3,18,8,23,31,9,30,6,20,2,4,19,26,17,1,25
2015,5,21,26,28,7,12,32,1,16,31,22,17,2,19,29,20,24,3,27,23,6,14,4,10,11,25,8,13,18,30,9,15
2016,1,19,27,18,31,30,16,12,20,7,24,11,14,23,26,2,29,4,13,6,3,21,10,9,25,15,8,17,28,22,5,32
2017,7,14,8,12,17,16,23,24,3,28,4,13,26,32,5,15,25,30,10,20,2,9,11,1,19,31,22,29,27,21,18,6
2018,11,22,7,30,21,10,29,5,28,32,1,27,9,26,16,2,31,17,24,3,8,25,18,12,20,4,6,14,19,15,23,13
2019,2,8,11,17,4,21,9,14,19,13,7,23,3,31,5,1,26,22,24,18,29,12,6,20,10,25,15,32,28,27,16,30
2020,11,13,18,28,8,20,9,5,31,14,6,15,19,16,4,1,32,3,12,22,29,10,2,26,17,21,25,7,23,30,27,24
2021,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
