year,name,num,yards,delay_of_game,false_start,offensive_holding,offensive_pass_inteference,offsides,defensive_holding,illegal_contact,defensive_pass_interference,roughing_the_passer,personal_foul,unnecessary_roughness,unsportsmanlike_conduct,other
2011,Raiders,163,1358,10,19,24,1,16,17,6,12,5,3,9,0,41
2011,Seahawks,138,1047,5,38,13,3,5,11,6,8,2,2,9,0,36
2011,Lions,128,1075,4,20,15,6,6,6,3,7,5,3,5,0,48
2011,Buccaneers,123,1007,3,14,17,4,6,7,5,8,3,2,7,0,47
2011,Cowboys,114,816,5,27,14,2,9,12,1,8,3,0,5,0,28
2011,49ers,113,1014,8,29,6,3,4,8,2,5,4,0,10,0,34
2011,Panthers,113,1013,5,18,24,4,8,14,2,8,1,2,5,0,22
2011,Rams,112,899,4,32,9,0,7,9,3,4,2,1,7,0,34
2011,Chiefs,110,916,4,27,13,4,2,11,1,5,4,1,5,0,33
2011,Vikings,109,908,2,20,18,2,4,5,2,5,4,1,5,0,41
2011,Eagles,107,853,6,22,14,1,9,8,1,5,7,2,6,0,26
2011,Cardinals,106,1004,5,18,7,2,4,13,3,14,5,2,6,0,27
2011,Titans,104,960,1,13,16,2,8,11,4,3,2,3,9,0,32
2011,Bears,104,800,8,30,9,1,4,12,0,3,2,1,5,0,29
2011,Jets,102,849,3,25,13,4,2,13,3,5,3,0,4,0,27
2011,Steelers,101,854,5,19,17,2,2,14,2,5,1,3,5,0,26
2011,Broncos,101,842,9,10,19,0,3,4,1,7,3,1,9,0,35
2011,Bengals,99,874,1,27,22,3,3,7,1,7,3,3,4,0,18
2011,Texans,99,852,1,18,14,2,7,5,3,8,6,4,2,0,29
2011,Saints,99,851,5,17,16,2,4,9,1,7,7,2,7,0,22
2011,Browns,95,847,1,20,9,2,1,16,2,11,1,2,5,0,25
2011,Giants,94,795,4,17,14,1,4,9,2,5,3,0,9,0,26
2011,Falcons,93,769,3,13,15,4,8,4,2,4,5,1,8,0,26
2011,Ravens,92,742,4,23,11,1,5,10,0,7,1,0,6,0,24
2011,Redskins,91,897,7,11,15,2,2,7,1,5,2,2,9,0,28
2011,Chargers,91,753,2,16,11,2,7,6,3,5,1,1,7,0,30
2011,Patriots,87,815,3,19,16,0,0,7,1,8,4,1,5,0,23
2011,Bills,86,743,2,13,13,1,6,7,2,7,2,2,3,0,28
