team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Raiders,1,1,8,11,13,5,1,7,11,2,11,1
Cowboys,14,21,17,13,21,21,19,14,22,8,13,2
49ers,7,4,5,15,14,26,27,8,7,11,18,3
Vikings,18,10,21,27,22,28,18,12,30,17,28,4
Browns,25,19,2,10,15,7,31,17,21,4,8,5
Chargers,24,27,27,24,10,12,30,16,10,21,20,6
Cardinals,13,7,16,25,28,32,16,23,29,9,9,7
Bills,29,28,14,7,5,1,12,24,5,14,5,8
Texans,23,16,13,2,24,16,20,3,28,19,31,9
Titans,3,8,18,12,11,31,7,28,32,13,14,10
Chiefs,17,9,28,23,29,22,24,4,1,7,6,11
Bears,19,23,24,26,7,17,11,13,27,23,15,12
Buccaneers,15,6,22,3,12,2,14,26,9,3,19,13
Panthers,8,5,20,29,27,19,23,32,26,31,16,14
Jets,6,18,30,16,16,29,26,5,16,5,4,15
Jaguars,26,30,6,20,32,20,2,15,2,1,1,16
Patriots,20,22,19,30,3,24,29,25,31,26,32,17
Ravens,27,29,1,8,18,3,4,30,17,22,3,18
Eagles,2,15,23,14,8,27,13,10,24,24,12,19
Steelers,9,14,9,28,23,23,6,20,3,18,22,20
Dolphins,32,25,29,31,31,6,3,2,8,29,29,21
Lions,4,2,7,9,9,14,21,9,25,12,10,22
Saints,11,17,11,17,30,4,10,11,18,6,2,23
Seahawks,10,3,12,1,6,10,9,1,12,20,26,24
Falcons,31,26,32,21,20,11,25,19,20,10,17,25
Football Team,28,12,3,18,2,25,15,31,4,25,21,26
Broncos,5,20,25,6,4,8,8,22,6,15,25,27
Colts,22,32,26,32,19,13,17,29,14,32,7,28
Packers,30,31,10,19,26,18,28,27,19,28,23,29
Giants,16,24,31,22,17,30,22,21,15,27,30,30
Rams,12,11,4,4,1,9,5,18,23,16,27,31
Bengals,21,13,15,5,25,15,32,6,13,30,24,32
