penalties,yards,name
114,990,Cardinals
92,753,Falcons
102,852,Ravens
113,980,Bills
107,864,Panthers
106,914,Bears
72,620,Bengals
112,1035,Browns
127,1103,Cowboys
83,711,Broncos
105,824,Lions
69,678,Packers
114,978,Texans
76,688,Colts
104,856,Jaguars
111,925,Chiefs
76,637,Rams
116,1033,Chargers
124,1104,Raiders
105,825,Dolphins
111,1043,Vikings
95,854,Patriots
98,811,Saints
88,674,Giants
103,860,Jets
107,842,Eagles
106,831,Steelers
97,803,Seahawks
102,1066,49ers
97,874,Buccaneers
103,973,Titans
82,743,Football Team
