penalties,yards,name,year
108,870,Cardinals,2010
58,598,Falcons,2010
90,673,Ravens,2010
82,633,Bills,2010
106,918,Panthers,2010
91,768,Bears,2010
90,720,Bengals,2010
78,675,Browns,2010
109,863,Cowboys,2010
98,944,Broncos,2010
136,1018,Lions,2010
78,617,Packers,2010
90,690,Texans,2010
79,709,Colts,2010
83,675,Jaguars,2010
90,771,Chiefs,2010
72,595,Dolphins,2010
100,769,Vikings,2010
83,766,Patriots,2010
90,884,Saints,2010
92,777,Giants,2010
103,934,Jets,2010
129,1101,Eagles,2010
100,903,Steelers,2010
101,890,Seahawks,2010
112,933,49ers,2010
100,837,Buccaneers,2010
128,1040,Titans,2010
90,647,Football Team,2010
106,1004,Cardinals,2011
93,769,Falcons,2011
92,742,Ravens,2011
86,743,Bills,2011
113,1013,Panthers,2011
104,800,Bears,2011
99,874,Bengals,2011
95,847,Browns,2011
114,816,Cowboys,2011
101,842,Broncos,2011
128,1075,Lions,2011
76,591,Packers,2011
99,852,Texans,2011
76,549,Colts,2011
77,680,Jaguars,2011
110,916,Chiefs,2011
85,779,Dolphins,2011
109,908,Vikings,2011
87,815,Patriots,2011
99,851,Saints,2011
94,795,Giants,2011
102,849,Jets,2011
107,853,Eagles,2011
101,854,Steelers,2011
138,1047,Seahawks,2011
113,1014,49ers,2011
123,1007,Buccaneers,2011
104,960,Titans,2011
91,897,Football Team,2011
102,857,Cardinals,2012
55,415,Falcons,2012
121,1127,Ravens,2012
104,871,Bills,2012
98,835,Panthers,2012
102,811,Bears,2012
99,857,Bengals,2012
113,1005,Browns,2012
117,853,Cowboys,2012
100,805,Broncos,2012
103,944,Lions,2012
103,923,Packers,2012
108,873,Texans,2012
94,801,Colts,2012
101,955,Jaguars,2012
92,733,Chiefs,2012
82,724,Dolphins,2012
90,830,Vikings,2012
97,840,Patriots,2012
104,911,Saints,2012
72,578,Giants,2012
83,708,Jets,2012
98,813,Eagles,2012
92,938,Steelers,2012
110,890,Seahawks,2012
109,960,49ers,2012
101,819,Buccaneers,2012
106,847,Titans,2012
116,985,Football Team,2012
97,744,Cardinals,2013
91,788,Falcons,2013
112,942,Ravens,2013
110,952,Bills,2013
80,671,Panthers,2013
85,708,Bears,2013
102,1000,Bengals,2013
104,920,Browns,2013
102,867,Cowboys,2013
117,1000,Broncos,2013
110,925,Lions,2013
86,801,Packers,2013
112,1138,Texans,2013
66,576,Colts,2013
96,797,Jaguars,2013
101,774,Chiefs,2013
70,598,Dolphins,2013
70,695,Vikings,2013
