name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49ers,933.0,1014.0,960.0,845.0,937.0,823.0,831.0,988.0,982.0,939.0,731.0,1066.0
Average,814.0,867.0,851.0,845.0,888.0,940.0,928.0,924.0,919.0,916.0,779.0,867.0
Bears,768.0,800.0,811.0,708.0,997.0,909.0,967.0,943.0,796.0,838.0,777.0,914.0
Bengals,720.0,874.0,857.0,1000.0,812.0,917.0,726.0,1027.0,957.0,761.0,675.0,620.0
Bills,633.0,743.0,871.0,952.0,1031.0,1249.0,960.0,872.0,992.0,927.0,941.0,980.0
Broncos,944.0,842.0,805.0,1000.0,1045.0,1063.0,985.0,885.0,985.0,912.0,670.0,711.0
Browns,675.0,847.0,1005.0,920.0,932.0,1083.0,736.0,924.0,894.0,1106.0,870.0,1035.0
Buccaneers,837.0,1007.0,819.0,1136.0,939.0,1195.0,926.0,795.0,975.0,1111.0,715.0,874.0
Cardinals,870.0,1004.0,857.0,744.0,707.0,758.0,889.0,880.0,786.0,956.0,868.0,990.0
Chargers,677.0,753.0,796.0,765.0,967.0,942.0,780.0,927.0,967.0,872.0,710.0,1033.0
Chiefs,771.0,916.0,733.0,774.0,681.0,878.0,848.0,1044.0,1152.0,1029.0,919.0,925.0
Colts,709.0,549.0,801.0,576.0,848.0,931.0,883.0,779.0,953.0,670.0,899.0,688.0
Cowboys,863.0,816.0,853.0,867.0,839.0,879.0,879.0,939.0,885.0,1008.0,849.0,1103.0
Dolphins,595.0,779.0,724.0,598.0,635.0,1090.0,1141.0,1154.0,978.0,769.0,635.0,825.0
Eagles,1101.0,853.0,813.0,846.0,995.0,819.0,945.0,962.0,852.0,836.0,853.0,842.0
Falcons,598.0,769.0,415.0,788.0,840.0,969.0,847.0,918.0,899.0,956.0,736.0,753.0
Football Team,647.0,897.0,985.0,802.0,1130.0,827.0,909.0,732.0,1008.0,835.0,697.0,743.0
Giants,777.0,795.0,578.0,786.0,896.0,779.0,857.0,895.0,951.0,784.0,634.0,674.0
Jaguars,675.0,680.0,955.0,797.0,573.0,880.0,1178.0,936.0,1112.0,1165.0,1071.0,856.0
Jets,934.0,849.0,708.0,837.0,932.0,787.0,837.0,1035.0,948.0,1105.0,952.0,860.0
Lions,1018.0,1075.0,944.0,925.0,989.0,930.0,861.0,968.0,852.0,937.0,860.0,824.0
Packers,617.0,591.0,923.0,801.0,775.0,906.0,827.0,789.0,937.0,774.0,684.0,678.0
Panthers,918.0,1013.0,835.0,671.0,756.0,887.0,850.0,682.0,818.0,754.0,752.0,864.0
Patriots,766.0,815.0,840.0,625.0,1080.0,859.0,819.0,835.0,744.0,828.0,534.0,854.0
Raiders,1276.0,1358.0,939.0,912.0,939.0,1102.0,1251.0,1009.0,965.0,1138.0,856.0,1104.0
Rams,877.0,899.0,978.0,1009.0,1139.0,1007.0,1091.0,922.0,878.0,899.0,655.0,637.0
Ravens,673.0,742.0,1127.0,942.0,870.0,1153.0,1111.0,749.0,940.0,867.0,961.0,852.0
Saints,884.0,851.0,911.0,817.0,670.0,1112.0,969.0,962.0,939.0,1036.0,1005.0,811.0
Seahawks,890.0,1047.0,890.0,1183.0,1009.0,1007.0,970.0,1342.0,959.0,882.0,662.0,803.0
Steelers,903.0,854.0,938.0,677.0,834.0,868.0,1068.0,896.0,1026.0,893.0,691.0,831.0
Texans,690.0,852.0,873.0,1138.0,834.0,910.0,868.0,1050.0,787.0,892.0,619.0,978.0
Titans,1040.0,960.0,847.0,900.0,961.0,779.0,1012.0,785.0,727.0,932.0,783.0,973.0
Vikings,769.0,908.0,830.0,695.0,836.0,797.0,882.0,949.0,779.0,895.0,650.0,1043.0
