published,ecosystem,fixed,severity
2022-03-24T00:04:03Z,Go,1.0,HIGH
2022-03-01T18:58:23Z,Maven,1.0,HIGH
2022-03-12T00:00:36Z,npm,1.0,MODERATE
2022-03-11T00:02:36Z,Packagist,1.0,MODERATE
2022-03-14T23:22:27Z,npm,1.0,LOW
2022-03-11T20:52:04Z,PyPI,1.0,HIGH
2022-03-18T17:55:07Z,Packagist,1.0,MODERATE
2022-03-09T00:00:44Z,Packagist,1.0,MODERATE
2022-03-05T00:00:44Z,Maven,1.0,MODERATE
2022-03-03T19:11:14Z,npm,1.0,HIGH
2022-03-23T00:00:23Z,Packagist,1.0,HIGH
2022-03-11T00:02:24Z,Packagist,1.0,HIGH
2022-03-15T00:00:55Z,Packagist,1.0,CRITICAL
2022-03-23T00:00:23Z,Packagist,1.0,HIGH
2022-03-16T00:00:48Z,Packagist,0.0,HIGH
2022-03-30T00:00:25Z,Maven,0.0,MODERATE
2022-03-11T00:02:04Z,PyPI,1.0,HIGH
2022-03-28T19:33:44Z,Go,1.0,HIGH
2022-03-14T22:15:19Z,npm,1.0,MODERATE
2022-03-11T00:02:02Z,Packagist,0.0,HIGH
2022-03-18T17:54:38Z,Packagist,1.0,HIGH
2022-03-12T00:00:33Z,npm,1.0,HIGH
2022-03-26T00:06:00Z,Packagist,1.0,HIGH
2022-03-02T22:24:05Z,RubyGems,1.0,HIGH
2022-03-02T21:30:54Z,Maven,1.0,CRITICAL
2022-03-13T00:00:53Z,Packagist,1.0,HIGH
2022-03-11T00:02:17Z,Go,1.0,CRITICAL
2022-03-24T00:00:17Z,PyPI,1.0,MODERATE
2022-03-12T00:00:34Z,Packagist,1.0,HIGH
2022-03-19T00:01:02Z,Go,1.0,HIGH
2022-03-18T00:01:11Z,npm,0.0,MODERATE
2022-03-13T00:00:54Z,Packagist,1.0,MODERATE
2022-03-18T17:56:08Z,Maven,1.0,CRITICAL
2022-03-16T00:00:46Z,Packagist,1.0,MODERATE
2022-03-18T17:40:44Z,Maven,1.0,MODERATE
2022-03-17T00:00:48Z,npm,0.0,HIGH
2022-03-16T00:00:47Z,PyPI,1.0,LOW
2022-03-28T20:28:00Z,Go,1.0,HIGH
2022-03-04T00:00:17Z,PyPI,1.0,MODERATE
2022-03-26T00:00:32Z,Packagist,1.0,HIGH
2022-03-15T00:01:02Z,Packagist,1.0,MODERATE
2022-03-07T16:59:31Z,Go,1.0,MODERATE
2022-03-10T18:02:14Z,Packagist,1.0,MODERATE
2022-03-30T18:26:22Z,Packagist,1.0,MODERATE
2022-03-10T17:49:26Z,Packagist,1.0,MODERATE
2022-03-31T00:00:24Z,crates.io,0.0,CRITICAL
2022-03-15T00:00:53Z,PyPI,1.0,HIGH
2022-03-07T00:00:40Z,npm,1.0,MODERATE
2022-03-10T00:00:40Z,Packagist,1.0,HIGH
2022-03-16T00:00:47Z,Packagist,1.0,MODERATE
2022-03-04T00:00:16Z,Go,1.0,HIGH
2022-03-05T00:00:46Z,Go,0.0,HIGH
2022-03-14T21:55:33Z,Packagist,1.0,MODERATE
2022-03-18T17:58:30Z,Maven,1.0,HIGH
2022-03-18T22:36:03Z,Packagist,1.0,HIGH
2022-03-01T21:05:01Z,Go,1.0,MODERATE
2022-03-02T00:00:22Z,Packagist,1.0,MODERATE
2022-03-05T00:00:45Z,Packagist,1.0,MODERATE
2022-03-16T00:00:47Z,Packagist,1.0,MODERATE
2022-03-29T00:01:09Z,Packagist,0.0,MODERATE
2022-03-18T00:01:11Z,npm,0.0,MODERATE
2022-03-10T18:17:50Z,Go,1.0,HIGH
2022-03-26T00:22:49Z,Packagist,1.0,HIGH
2022-03-18T00:01:11Z,npm,1.0,CRITICAL
2022-03-05T00:00:46Z,Go,0.0,HIGH
2022-03-18T19:00:59Z,PyPI,1.0,HIGH
2022-03-30T00:00:21Z,Maven,0.0,MODERATE
2022-03-26T00:25:25Z,Packagist,1.0,LOW
2022-03-26T00:15:22Z,Packagist,1.0,CRITICAL
2022-03-11T00:01:59Z,Maven,1.0,MODERATE
2022-03-30T00:00:23Z,Maven,1.0,HIGH
2022-03-17T00:00:24Z,npm,1.0,MODERATE
2022-03-12T00:00:37Z,PyPI,1.0,HIGH
2022-03-05T00:00:45Z,Packagist,0.0,MODERATE
2022-03-22T00:00:41Z,npm,1.0,HIGH
2022-03-18T17:53:58Z,Maven,1.0,HIGH
2022-03-01T21:04:07Z,Go,1.0,MODERATE
2022-03-12T00:00:36Z,Packagist,1.0,HIGH
2022-03-15T00:00:54Z,Packagist,1.0,MODERATE
2022-03-26T00:00:32Z,Packagist,1.0,HIGH
2022-03-04T21:15:31Z,PyPI,1.0,HIGH
2022-03-24T00:12:46Z,Go,1.0,MODERATE
2022-03-22T18:49:36Z,npm,1.0,LOW
2022-03-12T00:00:36Z,Maven,1.0,HIGH
2022-03-16T00:00:46Z,Packagist,1.0,MODERATE
2022-03-12T00:00:34Z,Go,1.0,MODERATE
2022-03-07T00:00:40Z,PyPI,1.0,MODERATE
2022-03-16T00:00:47Z,Packagist,1.0,MODERATE
2022-03-30T00:00:22Z,Maven,0.0,MODERATE
2022-03-16T00:00:38Z,Go,1.0,MODERATE
2022-03-25T00:00:34Z,Maven,0.0,MODERATE
2022-03-01T22:12:47Z,PyPI,1.0,MODERATE
2022-03-17T00:00:47Z,Packagist,1.0,MODERATE
2022-03-18T23:09:54Z,npm,1.0,HIGH
2022-03-15T00:01:00Z,Packagist,1.0,MODERATE
2022-03-16T00:00:48Z,Packagist,1.0,MODERATE
2022-03-14T22:30:46Z,Packagist,1.0,HIGH
2022-03-25T00:00:34Z,Packagist,1.0,MODERATE
2022-03-12T00:00:36Z,npm,1.0,MODERATE
2022-03-18T17:56:45Z,Maven,1.0,MODERATE
2022-03-23T00:00:22Z,npm,0.0,CRITICAL
2022-03-19T00:01:00Z,Packagist,1.0,CRITICAL
2022-03-30T00:00:23Z,Maven,0.0,HIGH
2022-03-31T00:00:23Z,Maven,1.0,HIGH
2022-03-11T23:10:32Z,PyPI,1.0,CRITICAL
2022-03-18T17:46:29Z,Maven,1.0,CRITICAL
2022-03-07T00:00:40Z,npm,1.0,CRITICAL
2022-03-29T00:01:16Z,Packagist,1.0,CRITICAL
2022-03-17T00:00:48Z,Packagist,1.0,MODERATE
2022-03-20T00:00:29Z,Packagist,1.0,HIGH
2022-03-18T00:01:13Z,Go,0.0,HIGH
2022-03-30T00:00:31Z,NuGet,1.0,HIGH
2022-03-04T00:00:19Z,npm,1.0,HIGH
2022-03-03T19:02:08Z,PyPI,1.0,HIGH
2022-03-17T00:00:27Z,npm,1.0,HIGH
2022-03-01T21:44:13Z,Packagist,1.0,CRITICAL
2022-03-12T00:00:34Z,PyPI,1.0,MODERATE
2022-03-18T17:58:59Z,Maven,1.0,HIGH
2022-03-01T22:09:18Z,npm,1.0,HIGH
2022-03-08T21:25:54Z,RubyGems,1.0,HIGH
2022-03-24T00:18:54Z,Go,1.0,CRITICAL
2022-03-04T00:00:15Z,Maven,1.0,MODERATE
2022-03-26T00:00:29Z,RubyGems,1.0,HIGH
2022-03-29T00:01:15Z,Packagist,0.0,CRITICAL
2022-03-11T00:02:36Z,Maven,1.0,HIGH
2022-03-18T17:55:47Z,Maven,1.0,MODERATE
2022-03-18T00:01:11Z,npm,0.0,CRITICAL
2022-03-28T00:00:20Z,Go,0.0,CRITICAL
