Year,Value per ton
1973,755
1974,388
1975,320
1976,397
1977,502.5000343
1978,521.7399915
1979,442.7200017
1980,498.5000612
1981,553.7700111
1982,561.2500133
1983,562.8800057
1984,414.439994
1985,360.1400069
1986,424.4299973
1987,526.5399925
1988,710.9899983
1989,1067.950007
1990,1015.899997
1991,1036.010017
1992,1011.230018
1993,975.2400011
1994,957.7000079
1995,1152.729985
1996,1656.60002
1997,1183.81
1998,1509.93
1999,1429.640009
2000,1481.729994
2001,1288.7
2002,1482.039993
2003,1371.809983
2004,1305.860003
2005,1277.779997
2006,1163.709999
2007,1402.740001
2008,1394.050002
2009,1385
2010,1178
2011,1281
2012,1363.000823
2013,1868.89999
2014,1714.529513
2015,1600.261772
2016,1838.984197
2017,2010.312216
2018,2051.915848
2019,2113.921923
